1代 码 名 称 大小 评价 人气 上载时间 
[随书类]vc++6实践与提高[visualc]  117Mb ★★★★★ 180 2005-3-23 
[随书类] Internet编程配套磁盘[visualc]  972Kb ★★★ 57 2004-11-21 
[随书类] InsideVC_4Edition[visualc]  6Mb ★★★ 40 2004-11-21 
[随书类]《InsideVC++》[visualc]  3Mb ★★★ 63 2004-11-21 
[系统类] 自由拼音输入法[visualc]  24Kb ★★★ 81 2004-11-12 
[系统类] 自动壁纸更换器源码注册表更改程序[visualc]  28Kb ★★★ 42 2004-11-12 
[系统类] 自动壁纸更换器源码更换器主程序[visualc]  27Kb ★★★ 31 2004-11-12 
[系统类] 注册表访问类，允许直接写入_HKEY_L[visualc]  13Kb ★★★ 49 2004-11-12 
[系统类] 中国农历，有详细的阴历算法[visualc]  49Kb ★★★ 129 2004-11-12 
[系统类] 在自己的应用程序中使用MS_Office[visualc]  74Kb ★★★ 55 2004-11-12 
[系统类] 在状态栏系统区以动画方式显示图标[visualc]  18Kb ★★★ 48 2004-11-12 
[系统类] 在文件改变时得到通知[visualc]  14Kb ★★★ 45 2004-11-12 
[系统类] 在GB码和Big5码间转换[visualc]  247Kb ★★★ 63 2004-11-12 
[系统类]用于加密解密的代码，以ATL形式提供[visualc]  126Kb ★★★ 85 2004-11-12 
[系统类] 以上编码方式的的解码示范[visualc]  22Kb ★★★ 28 2004-11-12 
9代 码 名 称 大小 评价 人气 上载时间 
[系统类] 依次启动不同进程[visualc]  20Kb ★★★ 72 2004-11-12 
[系统类] 一套调试时用于显示的开发包[visualc]  46Kb ★★★ 34 2004-11-12 
[系统类] 一个利用_AVIFILE.DLL_的写[visualc]  5Kb ★★★ 32 2004-11-12 
[系统类] 一个非常有趣的桌面趣味软件屏幕小精灵的源[visualc]  147Kb ★★★ 76 2004-11-12 
[系统类] 一个非常好用的产生日志的类[visualc]  17Kb ★★★ 67 2004-11-12 
[系统类] 显示出系统中的所有进程和每个服务进程[visualc]  53Kb ★★★ 75 2004-11-12 
[系统类] 系统级程序，主要用于CDROM的控制和系[visualc]  76Kb ★★★ 45 2004-11-12 
[系统类] 文件读写监视，带有VXD源代码[visualc]  10Kb ★★★ 72 2004-11-12 
[系统类] 提供开发_Windows_NT_Serv[visualc]  41Kb ★★★ 30 2004-11-12 
[系统类] 是VC自带的屏幕放大镜[visualc]  118Kb ★★★ 63 2004-11-12 
[系统类] 实现匿名管道的类[visualc]  9Kb ★★★ 34 2004-11-12 
[系统类] 实现控制面板的基础类[visualc]  12Kb ★★★ 35 2004-11-12 
[系统类] 实现96位整数计算的类[visualc]  12Kb ★★★ 26 2004-11-12 
[系统类] 任务条图标管理器[visualc]  705Kb ★★★ 35 2004-11-12 
[系统类] 确定系统版本[visualc]  25Kb ★★★ 33 2004-11-12 
[系统类] 屏幕小精灵[visualc]  49Kb ★★★ 51 2004-11-12 
[系统类] 屏幕软键盘[visualc]  23Kb ★★★ 41 2004-11-12 
[系统类] 屏幕取词技术内幕资料[visualc]  6Kb ★★★ 84 2004-11-12 
[系统类] 列举系统中所有进程[visualc]  17Kb ★★★ 45 2004-11-12 
[系统类] 利用命名管道进行通信[visualc]  20Kb ★★★ 45 2004-11-12 
10代 码 名 称 大小 评价 人气 上载时间 
[系统类] 利用读写锁保持线程同步[visualc]  18Kb ★★★ 50 2004-11-12 
[系统类] 利用IE_Helper与IE协同工作[visualc]  55Kb ★★★ 24 2004-11-12 
[系统类] 拦截Windows_API接口程序源代码[visualc]  97Kb ★★★ 91 2004-11-12 
[系统类] 拦截Win95_API函数[visualc]  32Kb ★★★ 26 2004-11-12 
[系统类] 可以嵌套子目录的字符串替换，文件名替换，[visualc]  62Kb ★★★ 26 2004-11-12 
[系统类] 可以监视文件目录被修改情况[visualc]  20Kb ★★★ 41 2004-11-12 
[系统类] 截获你的应用程序调用的任何输入函数[visualc]  8Kb ★★★ 52 2004-11-12 
[系统类] 建立NT服务进程的基类[visualc]  25Kb ★★★ 31 2004-11-12 
[系统类] 简单的随机密码生成工具[visualc]  16Kb ★★★ 57 2004-11-12 
[系统类] 基于_IME_的拼音输入法[visualc]  541Kb ★★★ 45 2004-11-12 
[系统类] 基于_CPU_的精确计时器，时钟频率越高[visualc]  18Kb ★★★ 53 2004-11-12 
[系统类] 获取系统所有字体信息[visualc]  51Kb ★★★ 24 2004-11-12 
[系统类] 获取操作系统版本信息[visualc]  42Kb ★★★ 35 2004-11-12 
[系统类] 获得所有经过关联的文件类型的图标[visualc]  18Kb ★★★ 27 2004-11-12 
[系统类] 和_PKZIP_全兼容的一套_ZIP_压[visualc]  341Kb ★★★ 27 2004-11-12 
[系统类] 高级_OS_版本检测类，支持_DOS,[visualc]  58Kb ★★★ 23 2004-11-12 
[系统类] 封装了模块列举功能的类[visualc]  19Kb ★★★ 20 2004-11-12 
[系统类] 封装PDH功能的MFC类[visualc]  25Kb ★★★ 16 2004-11-12 
[系统类] 二维数组，映射类[visualc]  12Kb ★★★ 31 2004-11-12 
[系统类] 读取密码输入框中数据[visualc]  17Kb ★★★ 64 2004-11-12 
11代 码 名 称 大小 评价 人气 上载时间 
[系统类] 动态引用DLL中的类函数[visualc]  10Kb ★★★ 46 2004-11-12 
[系统类] 得到系统下各种计量数据，支持NT2000[visualc]  17Kb ★★★ 18 2004-11-12 
[系统类] 得到经过关联的文件类型图标[visualc]  6Kb ★★★ 27 2004-11-12 
[系统类] 存取注册表的类[visualc]  13Kb ★★★ 42 2004-11-12 
[系统类] 存取其他主机上注册表[visualc]  14Kb ★★★ 32 2004-11-12 
[系统类] 创建拖放时使用的图标[visualc]  19Kb ★★★ 24 2004-11-12 
[系统类] 查看某一文件被谁加锁[visualc]  66Kb ★★★ 28 2004-11-12 
[系统类] 捕捉屏幕图像，支持全屏指定区窗口捕捉[visualc]  131Kb ★★★ 60 2004-11-12 
[系统类] 编写vxd的源代码[visualc]  137Kb ★★★ 47 2004-11-12 
[系统类] zddesk[visualc]  143Kb ★★★ 15 2004-11-12 
[系统类] WINDOWS9X下回收站的增强工具的源[visualc]  95Kb ★★★ 21 2004-11-12 
[系统类] Windows_进程管理[visualc]  17Kb ★★★ 66 2004-11-12 
[系统类] Win9x下软盘编辑的演示程序，可格式化[visualc]  38Kb ★★★ 19 2004-11-12 
[系统类] Win98中的Shell操作，带说明[visualc]  16Kb ★★★ 24 2004-11-12 
[系统类] VBScriptEditor[visualc]  39Kb ★★★ 18 2004-11-12 
[系统类] vb_activex_from_vc[visualc]  9Kb ★★★ 14 2004-11-12 
[系统类] Unicode字符串封装类[visualc]  7Kb ★★★ 29 2004-11-12 
[系统类] STLport(C++标准模板库源代码).tar[visualc]  1Mb ★★★ 45 2004-11-12 
[系统类] share_memory[visualc]  16Kb ★★★ 20 2004-11-12 
[系统类] secdesc_demo[visualc]  18Kb ★★★ 10 2004-11-12 
12代 码 名 称 大小 评价 人气 上载时间 
[系统类] screensave[visualc]  37Kb ★★★ 21 2004-11-12 
[系统类] screen_res_switch_src[visualc]  19Kb ★★★ 10 2004-11-12 
[系统类] NT中通过PDH得到系统计量数据[visualc]  45Kb ★★★ 10 2004-11-12 
[系统类] NT下未公开的多线程读，单线程写的函数[visualc]  5Kb ★★★ 32 2004-11-12 
[系统类] NT下读写端口[visualc]  49Kb ★★★ 49 2004-11-12 
[系统类] NT日志查看[visualc]  44Kb ★★★ 20 2004-11-12 
[系统类] NT_性能统计类(NT_performa[visualc]  26Kb ★★★ 13 2004-11-12 
[系统类] hardwareinfo[visualc]  38Kb ★★★ 18 2004-11-12 
[系统类] Filter[visualc]  60Kb ★★★ 22 2004-11-12 
[系统类] Explorer中右健菜单Copy全文件[visualc]  73Kb ★★★ 16 2004-11-12 
[系统类] datelock[visualc]  62Kb ★★★ 12 2004-11-12 
[系统类] cpl_pp[visualc]  14Kb ★★★ 9 2004-11-12 
[系统类] COMDCOM_Unleashed附书[visualc]  563Kb ★★★ 24 2004-11-12 
[系统类] CDROM控制[visualc]  55Kb ★★★ 22 2004-11-12 
[系统类] 16进制编辑器[visualc]  124Kb ★★★ 26 2004-11-12 
13代 码 名 称 大小 评价 人气 上载时间 
[打印类]print_tview_demo[visualc]  32Kb ★★★ 23 2004-11-12 
[网络类] 这是一个用阻塞方式的socket_做的聊[visualc]  67Kb ★★★ 68 2004-11-12 
[网络类] 在线将_URL_转为_IP_本地存储，加[visualc]  36Kb ★★★ 34 2004-11-12 
[网络类] 远断控制软件，可以直接控制远端主机[visualc]  156Kb ★★★ 93 2004-11-12 
[网络类] 邮件服务器支持SMTPPOP3IMA[visualc]  351Kb ★★★ 76 2004-11-12 
[网络类] 用于局域网的消息传送小工具[visualc]  408Kb ★★★ 97 2004-11-12 
[网络类] 用ICMP.DLL发送TCPIP控制信[visualc]  26Kb ★★★ 28 2004-11-12 
[网络类] 以控件形式提供的套接口类[visualc]  72Kb ★★★ 25 2004-11-12 
[网络类] 一个功能很强的拨号程序[visualc]  132Kb ★★★ 42 2004-11-12 
[网络类] 一个FTP工具C源码[visualc]  38Kb ★★★ 114 2004-11-12 
[网络类] 网络蜘蛛[visualc]  65Kb ★★★ 67 2004-11-12 
[网络类] 网络聊天[visualc]  101Kb ★★★ 131 2004-11-12 
[网络类] 通过替换WSock32.DLL的方法来跟[visualc]  12Kb ★★★ 42 2004-11-12 
[网络类] 使用IE_Helper与IE协同工作，能[visualc]  113Kb ★★★ 18 2004-11-12 
[网络类] 使用HTTP协议将文件下载到Window[visualc]  82Kb ★★★ 54 2004-11-12 
[网络类] 使用_Common_Messaging[visualc]  14Kb ★★★ 14 2004-11-12 
[网络类] 实现网络_Trace_Router_功能[visualc]  15Kb ★★★ 33 2004-11-12 
[网络类] 实现网络_SMTP_协议的_MFC_扩展[visualc]  24Kb ★★★ 42 2004-11-12 
[网络类] 实现网络_POP3_协议的_MFC_扩展[visualc]  20Kb ★★★ 38 2004-11-12 
[网络类] 实现网络_PING_功能的_MFC_扩展[visualc]  15Kb ★★★ 38 2004-11-12 
14代 码 名 称 大小 评价 人气 上载时间 
[网络类] 实现网络_Finger_协议的_MFC[visualc]  31Kb ★★★ 26 2004-11-12 
[网络类] 实现WhoIS协议的类[visualc]  43Kb ★★★ 18 2004-11-12 
[网络类] 实现SNTP协议的客户端[visualc]  18Kb ★★★ 28 2004-11-12 
[网络类] 上网加速工具与源代码[visualc]  36Kb ★★★ 36 2004-11-12 
[网络类] 能够对串口进行读写，监视的类。利用线程实[visualc]  38Kb ★★★ 92 2004-11-12 
[网络类] 列举本机上所有的TCP网络连接[visualc]  24Kb ★★★ 62 2004-11-12 
[网络类] 两台机器间的串口通讯[visualc]  50Kb ★★★ 87 2004-11-12 
[网络类] 利用TCPIP实现简单的客户服务器模[visualc]  5Kb ★★★ 82 2004-11-12 
[网络类] 利用SMTP协议发送邮件[visualc]  71Kb ★★★ 56 2004-11-12 
[网络类] 利用FTP协议进行文件浏览[visualc]  31Kb ★★★ 40 2004-11-12 
[网络类] 利用FTP下载文件[visualc]  17Kb ★★★ 67 2004-11-12 
[网络类] 介绍了一种可以灵活地在任何窗口上使用自动[visualc]  49Kb ★★★ 31 2004-11-12 
[网络类] 截获以太网数据,附源代码[visualc]  77Kb ★★★ 96 2004-11-12 
[网络类] 截获以太网数据,附源代码(NT_控制台程[visualc]  73Kb ★★★ 66 2004-11-12 
[网络类] 截获以太网数据,附源代码(for_win[visualc]  94Kb ★★★ 86 2004-11-12 
[网络类] 结合BO和Remote_Control两[visualc]  136Kb ★★★ 25 2004-11-12 
[网络类] 基于NT的Telnet客户端[visualc]  25Kb ★★★ 25 2004-11-12 
[网络类] 获得主机名和IP地址[visualc]  33Kb ★★★ 63 2004-11-12 
[网络类] 封装了HTTP操作的类，支持代理服务[visualc]  17Kb ★★★ 35 2004-11-12 
[网络类] 得到多穴主机所有IP地址[visualc]  3Kb ★★★ 36 2004-11-12 
15代 码 名 称 大小 评价 人气 上载时间 
[网络类] 代理服务器程序源代码[visualc]  104Kb ★★★ 76 2004-11-12 
[网络类] 串口通讯类，支持异常处理，Overlap[visualc]  20Kb ★★★ 59 2004-11-12 
[网络类] 超链接类，直接调用缺省浏览器[visualc]  22Kb ★★★ 25 2004-11-12 
[网络类] 采用替换文件的方法截获WinSock中的[visualc]  5Kb ★★★ 27 2004-11-12 
[网络类] 不用控制面板安装网卡的程序[visualc]  6Kb ★★★ 21 2004-11-12 
[网络类] 拨号示例[visualc]  105Kb ★★★ 29 2004-11-12 
[网络类] Voice_Modem的编程接口,可以录[visualc]  24Kb ★★★ 34 2004-11-12 
[网络类] RCC串口通讯协议开发包，并提供了协议说[visualc]  415Kb ★★★ 49 2004-11-12 
[网络类] RAS_链接监控类[visualc]  18Kb ★★★ 14 2004-11-12 
[网络类] mfccddb[visualc]  35Kb ★★★ 14 2004-11-12 
[网络类] mfc_cddb_src[visualc]  37Kb ★★★ 15 2004-11-12 
[网络类] IRC聊天室客户端程序代码[visualc]  210Kb ★★★ 57 2004-11-12 
[网络类] IRC客户端演示[visualc]  63Kb ★★★ 23 2004-11-12 
[网络类] HTTP服务器源代码[visualc]  83Kb ★★★ 43 2004-11-12 
[网络类] FTP类，支持防火墙设置[visualc]  39Kb ★★★ 38 2004-11-12 
[网络类] CGI开发包，用于分解数据和各个变量[visualc]  30Kb ★★★ 21 2004-11-12 
[多媒体] 用于显示音效的柱状器[visualc]  35Kb ★★★ 40 2004-11-12 
[多媒体] 音量控制类[visualc]  17Kb ★★★ 40 2004-11-12 
[多媒体] 通过TCPIP网络传送MPEG数据[visualc]  37Kb ★★★ 70 2004-11-12 
[多媒体] 视频捕捉示范[visualc]  18Kb ★★★ 85 2004-11-12 
16代 码 名 称 大小 评价 人气 上载时间 
[多媒体] 扫描仪支持类[visualc]  56Kb ★★★ 23 2004-11-12 
[多媒体] 基于DSP的MPEG解码程序源代码[visualc]  37Kb ★★★ 58 2004-11-12 
[多媒体] 超级解霸_V2.0_源码[visualc]  505Kb ★★★ 126 2004-11-12 
[多媒体] 产生毫秒级时钟延时的程序[visualc]  33Kb ★★★ 34 2004-11-12 
[多媒体] MP3播放器源码[visualc]  3Mb ★★★ 157 2004-11-12 
[多媒体] DirectDraw扩展类[visualc]  25Kb ★★★ 21 2004-11-12 
[界面类] 自动缩放的_View_Class[visualc]  339Kb ★★★ 49 2004-11-12 
